Player,Pos,Team,Avg,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,OBP,SLG
Slade Heathcott,CF,NYY,.353,17,3,6,1,0,1,3,0,0,0,3,.353,.588
Jacoby Ellsbury,CF,NYY,.324,148,29,48,4,0,1,6,14,5,19,23,.412,.372
Brendan Ryan,SS,NYY,.308,13,1,4,0,1,0,2,0,0,1,1,.400,.462
Brett Gardner,LF,NYY,.294,262,55,77,17,3,9,38,15,3,27,58,.365,.485
Alex Rodriguez,DH,NYY,.289,242,42,70,12,1,15,44,1,0,37,62,.390,.533
Mason Williams,CF,NYY,.286,21,3,6,3,0,1,3,0,0,1,3,.318,.571
Chris Young,RF,NYY,.271,166,24,45,10,0,9,23,2,0,9,36,.313,.494
Brian McCann,C,NYY,.270,215,29,58,9,1,11,45,0,0,18,44,.336,.474
Carlos Beltran,RF,NYY,.262,233,21,61,18,1,7,30,0,0,14,47,.304,.438
John Ryan Murphy,C,NYY,.258,66,7,17,4,1,0,5,0,0,5,20,.301,.348
Chase Headley,3B,NYY,.255,278,37,71,10,1,7,27,0,1,20,64,.309,.374
Mark Teixeira,1B,NYY,.251,235,34,59,14,0,18,51,1,0,39,41,.362,.540
Ramon Flores,LF,NYY,.250,28,3,7,1,0,0,0,0,0,0,4,.250,.286
Garrett Jones,RF,NYY,.242,99,9,24,2,1,4,13,0,0,6,25,.286,.404
Jose Pirela,2B,NYY,.236,55,5,13,3,0,1,3,0,0,2,11,.263,.345
Didi Gregorius,SS,NYY,.232,224,23,52,9,0,4,16,3,2,14,38,.284,.326
Stephen Drew,2B,NYY,.185,222,22,41,10,0,11,24,0,1,22,40,.255,.378
Gregorio Petit,2B,NYY,.184,38,6,7,3,0,0,5,0,0,3,15,.238,.263
Dellin Betances,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Danny Burawa,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Chris Capuano,SP,NYY,.000,1,0,0,0,0,0,0,0,0,0,0,.000,.000
Kyle Davies,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Jose De Paula,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Nathan Eovaldi,SP,NYY,.000,2,0,0,0,0,0,0,0,0,0,1,.000,.000
Jacob Lindgren,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Chris Martin,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Andrew Miller,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Bryan Mitchell,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Diego Moreno,RP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
Ivan Nova,SP,NYY,.000,0,0,0,0,0,0,0,0,0,0,0,.000,.000
